Date,price
2010-01-13,8196.5595703125
2010-01-14,8289.98046875
2010-01-15,8356.8896484375
2010-01-18,8337.8203125
2010-01-19,8249.0
2010-01-20,8220.9296875
2010-01-21,8127.8701171875
2010-01-22,7927.31005859375
2010-01-25,7872.990234375
2010-01-26,7598.81005859375
2010-01-27,7560.02978515625
2010-01-28,7694.580078125
2010-01-29,7640.43994140625
2010-02-01,7524.669921875
2010-02-02,7429.60986328125
2010-02-03,7547.97998046875
2010-02-04,7542.0400390625
2010-02-05,7217.830078125
2010-02-08,7215.8798828125
2010-02-09,7361.0400390625
2010-02-10,7441.83984375
2010-02-22,7560.0400390625
2010-02-23,7597.43994140625
2010-02-24,7529.669921875
2010-02-25,7426.9599609375
2010-02-26,7436.10009765625
2010-03-01,7577.75
2010-03-02,7597.6201171875
2010-03-03,7629.52001953125
2010-03-04,7569.7998046875
2010-03-05,7666.259765625
2010-03-08,7762.27001953125
2010-03-09,7770.58984375
2010-03-10,7779.080078125
2010-03-11,7749.66015625
2010-03-12,7748.330078125
2010-03-15,7634.919921875
2010-03-16,7695.6298828125
2010-03-17,7847.83984375
2010-03-18,7886.33984375
2010-03-19,7897.91015625
2010-03-22,7835.97998046875
2010-03-23,7811.8701171875
2010-03-24,7822.7099609375
2010-03-25,7838.10009765625
2010-03-26,7876.85986328125
2010-03-29,7947.4501953125
2010-03-30,7962.22021484375
2010-03-31,7920.06005859375
2010-04-01,8013.08984375
2010-04-02,8025.93017578125
2010-04-06,8089.64990234375
2010-04-07,8121.77978515625
2010-04-08,8057.60009765625
2010-04-09,8092.02978515625
2010-04-12,8117.75
2010-04-13,8029.72998046875
2010-04-14,8097.1298828125
2010-04-15,8171.93994140625
2010-04-16,8111.56982421875
2010-04-19,7854.22021484375
2010-04-20,7900.419921875
2010-04-21,7990.52978515625
2010-04-22,7978.68994140625
2010-04-23,8004.89013671875
2010-04-26,8158.14013671875
2010-04-27,8146.43994140625
2010-04-28,8081.5498046875
2010-04-29,8054.0498046875
2010-04-30,8004.25
2010-05-03,7952.169921875
2010-05-04,7930.77001953125
2010-05-05,7696.89990234375
2010-05-06,7579.47998046875
2010-05-07,7567.10009765625
2010-05-10,7664.72998046875
2010-05-11,7608.43994140625
2010-05-12,7602.7001953125
2010-05-13,7770.56982421875
2010-05-14,7772.1298828125
2010-05-17,7598.72021484375
2010-05-18,7585.2998046875
2010-05-19,7559.16015625
2010-05-20,7424.43017578125
2010-05-21,7237.7099609375
2010-05-24,7322.72998046875
2010-05-25,7086.3701171875
2010-05-26,7167.35009765625
2010-05-27,7243.16015625
2010-05-28,7295.31982421875
2010-05-31,7373.97998046875
2010-06-01,7289.330078125
2010-06-02,7195.7099609375
2010-06-03,7360.27978515625
2010-06-04,7344.58984375
2010-06-07,7157.830078125
2010-06-08,7151.990234375
2010-06-09,7071.669921875
2010-06-10,7181.77001953125
2010-06-11,7299.490234375
2010-06-14,7387.39990234375
2010-06-15,7454.06005859375
2010-06-17,7515.77978515625
2010-06-18,7493.10986328125
2010-06-21,7635.56005859375
2010-06-22,7612.68017578125
2010-06-23,7582.14990234375
2010-06-24,7589.89013671875
2010-06-25,7474.7099609375
2010-06-28,7500.7900390625
2010-06-29,7423.56982421875
2010-06-30,7329.3701171875
2010-07-01,7254.06005859375
2010-07-02,7330.740234375
2010-07-05,7439.9599609375
2010-07-06,7548.47998046875
2010-07-07,7534.4599609375
2010-07-08,7608.85009765625
2010-07-09,7647.25
2010-07-12,7639.5498046875
